dep;semaine;pop;P;T;Ti;Tp;Td;cl_age90
976;2020-S24;279471,00;132,00;694,00;47,23;19,02;248,33;0
976;2020-S25;279471,00;116,00;764,00;41,51;15,18;273,37;0
976;2020-S26;279471,00;128,00;747,00;45,80;17,14;267,29;0
978;2020-S23;35334,00;0,00;81,00;0,00;0,00;229,24;0
978;2020-S24;35334,00;1,00;67,00;2,83;1,49;189,62;0
978;2020-S25;35334,00;0,00;100,00;0,00;0,00;283,01;0
978;2020-S26;35334,00;2,00;101,00;5,66;1,98;285,84;0
975;2020-S23;5997,00;1,00;1,00;16,68;100,00;16,68;0
975;2020-S24;5997,00;0,00;2,00;0,00;0,00;33,35;0
975;2020-S25;5997,00;0,00;2,00;0,00;0,00;33,35;0
975;2020-S26;5997,00;0,00;3,00;0,00;0,00;50,03;0
977;2020-S23;9961,00;0,00;67,00;0,00;0,00;672,62;0
977;2020-S24;9961,00;0,00;51,00;0,00;0,00;512,00;0
977;2020-S25;9961,00;1,00;104,00;10,04;0,96;1044,07;0
977;2020-S26;9961,00;1,00;120,00;10,04;0,83;1204,70;0
01;2020-S27;656955,00;21,00;3124,00;3,20;0,67;475,53;0
01;2020-S28;656955,00;17,00;3490,00;2,59;0,49;531,24;0
01;2020-S29;656955,00;13,00;3209,00;1,98;0,41;488,47;0
01;2020-S30;656955,00;49,00;3478,00;7,46;1,41;529,41;0
02;2020-S27;526050,00;20,00;2189,00;3,80;0,91;416,12;0
02;2020-S28;526050,00;24,00;2158,00;4,56;1,11;410,23;0
02;2020-S29;526050,00;10,00;1893,00;1,90;0,53;359,85;0
02;2020-S30;526050,00;23,00;2193,00;4,37;1,05;416,88;0
03;2020-S27;331315,00;7,00;1234,00;2,11;0,57;372,46;0
03;2020-S28;331315,00;3,00;1124,00;0,91;0,27;339,25;0
03;2020-S29;331315,00;8,00;1214,00;2,41;0,66;366,42;0
03;2020-S30;331315,00;15,00;1549,00;4,53;0,97;467,53;0
04;2020-S27;165197,00;0,00;626,00;0,00;0,00;378,94;0
04;2020-S28;165197,00;0,00;668,00;0,00;0,00;404,37;0
04;2020-S29;165197,00;3,00;778,00;1,82;0,39;470,95;0
04;2020-S30;165197,00;4,00;1007,00;2,42;0,40;609,58;0
05;2020-S27;141756,00;1,00;412,00;0,71;0,24;290,64;0
05;2020-S28;141756,00;0,00;467,00;0,00;0,00;329,44;0
05;2020-S29;141756,00;2,00;574,00;1,41;0,35;404,92;0
05;2020-S30;141756,00;1,00;672,00;0,71;0,15;474,05;0
06;2020-S27;1079396,00;15,00;5704,00;1,39;0,26;528,44;0
06;2020-S28;1079396,00;24,00;6032,00;2,22;0,40;558,83;0
06;2020-S29;1079396,00;45,00;6599,00;4,17;0,68;611,36;0
06;2020-S30;1079396,00;124,00;10213,00;11,49;1,21;946,18;0
07;2020-S27;326875,00;5,00;1064,00;1,53;0,47;325,51;0
07;2020-S28;326875,00;21,00;1507,00;6,42;1,39;461,03;0
07;2020-S29;326875,00;13,00;1538,00;3,98;0,85;470,52;0
07;2020-S30;326875,00;11,00;1601,00;3,37;0,69;489,79;0
08;2020-S27;265531,00;6,00;1614,00;2,26;0,37;607,84;0
08;2020-S28;265531,00;1,00;1243,00;0,38;0,08;468,12;0
08;2020-S29;265531,00;3,00;1184,00;1,13;0,25;445,90;0
08;2020-S30;265531,00;6,00;1992,00;2,26;0,30;750,19;0
09;2020-S27;152398,00;0,00;305,00;0,00;0,00;200,13;0
09;2020-S28;152398,00;2,00;392,00;1,31;0,51;257,22;0
09;2020-S29;152398,00;0,00;535,00;0,00;0,00;351,05;0
09;2020-S30;152398,00;2,00;593,00;1,31;0,34;389,11;0
10;2020-S27;309907,00;2,00;779,00;0,65;0,26;251,37;0
10;2020-S28;309907,00;6,00;924,00;1,94;0,65;298,15;0
10;2020-S29;309907,00;8,00;1211,00;2,58;0,66;390,76;0
10;2020-S30;309907,00;4,00;1990,00;1,29;0,20;642,13;0
11;2020-S27;372705,00;2,00;1113,00;0,54;0,18;298,63;0
11;2020-S28;372705,00;1,00;1185,00;0,27;0,08;317,95;0
11;2020-S29;372705,00;1,00;1485,00;0,27;0,07;398,44;0
11;2020-S30;372705,00;8,00;1746,00;2,15;0,46;468,47;0
12;2020-S27;278360,00;0,00;1303,00;0,00;0,00;468,10;0
12;2020-S28;278360,00;2,00;1214,00;0,72;0,16;436,13;0
12;2020-S29;278360,00;0,00;1146,00;0,00;0,00;411,70;0
