dep;semaine;pop;P;T;Ti;Tp;Td;cl_age90
13;2020-S41;2034469,00;4879,00;62163,00;239,82;7,85;3055,49;0
13;2020-S42;2034469,00;6585,00;72824,00;323,67;9,04;3579,51;0
13;2020-S43;2034469,00;11470,00;86348,00;563,78;13,28;4244,25;0
14;2020-S40;691453,00;643,00;11505,00;92,99;5,59;1663,89;0
14;2020-S41;691453,00;1036,00;13697,00;149,83;7,56;1980,90;0
14;2020-S42;691453,00;1423,00;17126,00;205,80;8,31;2476,81;0
14;2020-S43;691453,00;2192,00;17879,00;317,01;12,26;2585,71;0
15;2020-S40;142811,00;89,00;1951,00;62,32;4,56;1366,14;0
15;2020-S41;142811,00;180,00;2756,00;126,04;6,53;1929,82;0
15;2020-S42;142811,00;178,00;2865,00;124,64;6,21;2006,15;0
15;2020-S43;142811,00;373,00;3432,00;261,18;10,87;2403,18;0
16;2020-S40;348180,00;130,00;3297,00;37,34;3,94;946,92;0
16;2020-S41;348180,00;177,00;3354,00;50,84;5,28;963,29;0
16;2020-S42;348180,00;260,00;4459,00;74,67;5,83;1280,66;0
16;2020-S43;348180,00;541,00;5968,00;155,38;9,07;1714,06;0
17;2020-S40;647080,00;151,00;6684,00;23,34;2,26;1032,95;0
17;2020-S41;647080,00;274,00;7043,00;42,34;3,89;1088,43;0
17;2020-S42;647080,00;349,00;8299,00;53,93;4,21;1282,53;0
17;2020-S43;647080,00;819,00;11464,00;126,57;7,14;1771,65;0
18;2020-S40;296404,00;113,00;3293,00;38,12;3,43;1110,98;0
18;2020-S41;296404,00;277,00;4051,00;93,45;6,84;1366,72;0
18;2020-S42;296404,00;498,00;4583,00;168,01;10,87;1546,20;0
18;2020-S43;296404,00;974,00;6292,00;328,61;15,48;2122,78;0
19;2020-S40;240336,00;136,00;3670,00;56,59;3,71;1527,03;0
19;2020-S41;240336,00;165,00;3957,00;68,65;4,17;1646,44;0
19;2020-S42;240336,00;153,00;3887,00;63,66;3,94;1617,32;0
19;2020-S43;240336,00;434,00;4783,00;180,58;9,07;1990,13;0
21;2020-S40;532886,00;538,00;9769,00;100,96;5,51;1833,23;0
21;2020-S41;532886,00;748,00;10111,00;140,37;7,40;1897,40;0
21;2020-S42;532886,00;1134,00;12536,00;212,80;9,05;2352,47;0
21;2020-S43;532886,00;2032,00;15559,00;381,32;13,06;2919,76;0
22;2020-S40;596186,00;165,00;6394,00;27,68;2,58;1072,48;0
22;2020-S41;596186,00;365,00;6952,00;61,22;5,25;1166,08;0
22;2020-S42;596186,00;669,00;10282,00;112,21;6,51;1724,63;0
22;2020-S43;596186,00;755,00;11442,00;126,64;6,60;1919,20;0
23;2020-S40;116270,00;32,00;1031,00;27,52;3,10;886,73;0
23;2020-S41;116270,00;92,00;1575,00;79,13;5,84;1354,61;0
23;2020-S42;116270,00;143,00;2313,00;122,99;6,18;1989,34;0
23;2020-S43;116270,00;371,00;3348,00;319,08;11,08;2879,50;0
24;2020-S40;408393,00;152,00;4218,00;37,22;3,60;1032,83;0
24;2020-S41;408393,00;244,00;4424,00;59,75;5,52;1083,27;0
24;2020-S42;408393,00;409,00;5767,00;100,15;7,09;1412,12;0
24;2020-S43;408393,00;863,00;9057,00;211,32;9,53;2217,72;0
25;2020-S40;539449,00;286,00;7581,00;53,02;3,77;1405,32;0
25;2020-S41;539449,00;435,00;8421,00;80,64;5,17;1561,04;0
25;2020-S42;539449,00;962,00;10904,00;178,33;8,82;2021,32;0
25;2020-S43;539449,00;2065,00;15245,00;382,80;13,55;2826,03;0
26;2020-S40;520560,00;458,00;6438,00;87,98;7,11;1236,74;0
26;2020-S41;520560,00;834,00;8415,00;160,21;9,91;1616,53;0
26;2020-S42;520560,00;1346,00;11556,00;258,57;11,65;2219,92;0
26;2020-S43;520560,00;2753,00;13777,00;528,85;19,98;2646,57;0
27;2020-S40;600687,00;447,00;5826,00;74,41;7,67;969,89;0
27;2020-S41;600687,00;710,00;6608,00;118,20;10,74;1100,07;0
27;2020-S42;600687,00;1092,00;8471,00;181,79;12,89;1410,22;0
27;2020-S43;600687,00;1534,00;10035,00;255,37;15,29;1670,59;0
28;2020-S40;429425,00;224,00;4548,00;52,16;4,93;1059,09;0
28;2020-S41;429425,00;370,00;5535,00;86,16;6,68;1288,93;0
28;2020-S42;429425,00;585,00;6944,00;136,23;8,42;1617,05;0
28;2020-S43;429425,00;1076,00;7778,00;250,57;13,83;1811,26;0
29;2020-S40;906554,00;320,00;11183,00;35,30;2,86;1233,57;0
29;2020-S41;906554,00;493,00;12102,00;54,38;4,07;1334,95;0
29;2020-S42;906554,00;745,00;14150,00;82,18;5,27;1560,86;0
29;2020-S43;906554,00;1252,00;15928,00;138,11;7,86;1756,98;0
2A;2020-S40;162421,00;70,00;3035,00;43,10;2,31;1868,60;0
2A;2020-S41;162421,00;135,00;2943,00;83,12;4,59;1811,96;0
2A;2020-S42;162421,00;332,00;3919,00;204,41;8,47;2412,87;0
2A;2020-S43;162421,00;432,00;4933,00;265,98;8,76;3037,17;0
2B;2020-S40;182258,00;74,00;2871,00;40,60;2,58;1575,24;0
2B;2020-S41;182258,00;169,00;3302,00;92,73;5,12;1811,72;0
2B;2020-S42;182258,00;376,00;5223,00;206,30;7,20;2865,72;0
2B;2020-S43;182258,00;490,00;6528,00;268,85;7,51;3581,74;0
30;2020-S40;748468,00;959,00;12137,00;128,13;7,90;1621,58;0
30;2020-S41;748468,00;1483,00;14521,00;198,14;10,21;1940,10;0
30;2020-S42;748468,00;1830,00;16103,00;244,50;11,36;2151,46;0
30;2020-S43;748468,00;3236,00;17353,00;432,35;18,65;2318,47;0
31;2020-S40;1400935,00;2663,00;31510,00;190,09;8,45;2249,21;0
31;2020-S41;1400935,00;3255,00;32401,00;232,34;10,05;2312,81;0
31;2020-S42;1400935,00;4133,00;38850,00;295,02;10,64;2773,15;0
31;2020-S43;1400935,00;5670,00;42298,00;404,73;13,40;3019,27;0
32;2020-S40;190040,00;143,00;2784,00;75,25;5,14;1464,95;0
32;2020-S41;190040,00;203,00;2624,00;106,82;7,74;1380,76;0
32;2020-S42;190040,00;257,00;3773,00;135,23;6,81;1985,37;0
32;2020-S43;190040,00;396,00;3757,00;208,38;10,54;1976,95;0
33;2020-S40;1633440,00;1616,00;23220,00;98,93;6,96;1421,54;0
33;2020-S41;1633440,00;1680,00;23132,00;102,85;7,26;1416,15;0
33;2020-S42;1633440,00;1891,00;26902,00;115,77;7,03;1646,95;0
33;2020-S43;1633440,00;2949,00;29638,00;180,54;9,95;1814,45;0
34;2020-S40;1176145,00;1514,00;21342,00;128,73;7,09;1814,57;0
34;2020-S41;1176145,00;2351,00;26254,00;199,89;8,95;2232,21;0
34;2020-S42;1176145,00;3067,00;32917,00;260,77;9,32;2798,72;0
34;2020-S43;1176145,00;4787,00;35505,00;407,01;13,48;3018,76;0
35;2020-S40;1082073,00;1183,00;17024,00;109,33;6,95;1573,28;0
35;2020-S41;1082073,00;1349,00;17618,00;124,67;7,66;1628,17;0
35;2020-S42;1082073,00;1770,00;19851,00;163,57;8,92;1834,53;0
35;2020-S43;1082073,00;2779,00;22705,00;256,82;12,24;2098,29;0
36;2020-S40;217139,00;66,00;1743,00;30,40;3,79;802,71;0
36;2020-S41;217139,00;119,00;2190,00;54,80;5,43;1008,57;0
36;2020-S42;217139,00;222,00;2603,00;102,24;8,53;1198,77;0
36;2020-S43;217139,00;426,00;3616,00;196,19;11,78;1665,29;0
37;2020-S40;605380,00;508,00;9516,00;83,91;5,34;1571,91;0
37;2020-S41;605380,00;766,00;11252,00;126,53;6,81;1858,67;0
37;2020-S42;605380,00;1137,00;15202,00;187,82;7,48;2511,15;0
37;2020-S43;605380,00;1967,00;18720,00;324,92;10,51;3092,27;0
38;2020-S40;1264979,00;2346,00;18935,00;185,46;12,39;1496,86;0
38;2020-S41;1264979,00;3763,00;23498,00;297,48;16,01;1857,58;0
38;2020-S42;1264979,00;5849,00;31252,00;462,38;18,72;2470,55;0
38;2020-S43;1264979,00;9175,00;35949,00;725,31;25,52;2841,87;0
39;2020-S40;257849,00;134,00;3323,00;51,97;4,03;1288,74;0
39;2020-S41;257849,00;244,00;3598,00;94,63;6,78;1395,39;0
39;2020-S42;257849,00;638,00;5455,00;247,43;11,70;2115,58;0
39;2020-S43;257849,00;1480,00;8100,00;573,98;18,27;3141,37;0
40;2020-S40;411979,00;358,00;6074,00;86,90;5,89;1474,35;0
40;2020-S41;411979,00;435,00;6045,00;105,59;7,20;1467,31;0
40;2020-S42;411979,00;658,00;7797,00;159,72;8,44;1892,57;0
40;2020-S43;411979,00;947,00;8526,00;229,87;11,11;2069,52;0
41;2020-S40;327835,00;177,00;3246,00;53,99;5,45;990,13;0
41;2020-S41;327835,00;218,00;3927,00;66,50;5,55;1197,86;0
41;2020-S42;327835,00;399,00;4879,00;121,71;8,18;1488,25;0
41;2020-S43;327835,00;766,00;5811,00;233,65;13,18;1772,54;0
42;2020-S40;764737,00;1774,00;15514,00;231,98;11,43;2028,67;0
42;2020-S41;764737,00;3151,00;20129,00;412,04;15,65;2632,15;0
42;2020-S42;764737,00;5246,00;27573,00;685,99;19,03;3605,55;0
42;2020-S43;764737,00;8254,00;33384,00;1079,33;24,72;4365,42;0
43;2020-S40;226901,00;342,00;3699,00;150,73;9,25;1630,23;0
43;2020-S41;226901,00;602,00;4626,00;265,31;13,01;2038,77;0
43;2020-S42;226901,00;939,00;5354,00;413,84;17,54;2359,62;0
43;2020-S43;226901,00;1939,00;7449,00;854,56;26,03;3282,93;0
44;2020-S40;1437137,00;1174,00;18421,00;81,69;6,37;1281,78;0
44;2020-S41;1437137,00;1699,00;23844,00;118,22;7,13;1659,13;0
44;2020-S42;1437137,00;2494,00;29788,00;173,54;8,37;2072,73;0
44;2020-S43;1437137,00;4094,00;35182,00;284,87;11,64;2448,06;0
45;2020-S40;682890,00;614,00;10426,00;89,91;5,89;1526,75;0
45;2020-S41;682890,00;998,00;12515,00;146,14;7,97;1832,65;0
45;2020-S42;682890,00;1375,00;14804,00;201,35;9,29;2167,85;0
45;2020-S43;682890,00;2659,00;18883,00;389,37;14,08;2765,16;0
46;2020-S40;173166,00;71,00;2433,00;41,00;2,92;1405,01;0
46;2020-S41;173166,00;127,00;2258,00;73,34;5,62;1303,95;0
46;2020-S42;173166,00;157,00;2700,00;90,66;5,81;1559,20;0
46;2020-S43;173166,00;278,00;3313,00;160,54;8,39;1913,19;0
47;2020-S40;330336,00;249,00;3533,00;75,38;7,05;1069,52;0
47;2020-S41;330336,00;313,00;4099,00;94,75;7,64;1240,86;0
47;2020-S42;330336,00;392,00;4843,00;118,67;8,09;1466,08;0
47;2020-S43;330336,00;632,00;5374,00;191,32;11,76;1626,83;0
48;2020-S40;76286,00;43,00;951,00;56,37;4,52;1246,62;0
48;2020-S41;76286,00;135,00;1148,00;176,97;11,76;1504,86;0
48;2020-S42;76286,00;124,00;1081,00;162,55;11,47;1417,04;0
48;2020-S43;76286,00;414,00;1859,00;542,69;22,27;2436,88;0
49;2020-S40;815881,00;520,00;11597,00;63,73;4,48;1421,41;0
49;2020-S41;815881,00;958,00;12783,00;117,42;7,49;1566,77;0
49;2020-S42;815881,00;1514,00;16454,00;185,57;9,20;2016,72;0
49;2020-S43;815881,00;2831,00;21827,00;346,99;12,97;2675,27;0
50;2020-S40;490669,00;146,00;4644,00;29,76;3,14;946,46;0
50;2020-S41;490669,00;312,00;5454,00;63,59;5,72;1111,54;0
50;2020-S42;490669,00;498,00;7660,00;101,49;6,50;1561,13;0
50;2020-S43;490669,00;926,00;9475,00;188,72;9,77;1931,04;0
51;2020-S40;563823,00;449,00;8506,00;79,63;5,28;1508,63;0
51;2020-S41;563823,00;720,00;9529,00;127,70;7,56;1690,07;0
51;2020-S42;563823,00;1009,00;11679,00;178,96;8,64;2071,39;0
51;2020-S43;563823,00;1659,00;13796,00;294,24;12,03;2446,87;0
52;2020-S40;169250,00;71,00;1590,00;41,95;4,47;939,44;0
52;2020-S41;169250,00;166,00;2083,00;98,08;7,97;1230,72;0
52;2020-S42;169250,00;206,00;2605,00;121,71;7,91;1539,14;0
52;2020-S43;169250,00;508,00;3693,00;300,15;13,76;2181,98;0
53;2020-S40;305365,00;224,00;4770,00;73,35;4,70;1562,07;0
53;2020-S41;305365,00;273,00;4814,00;89,40;5,67;1576,47;0
53;2020-S42;305365,00;413,00;5491,00;135,25;7,52;1798,18;0
53;2020-S43;305365,00;576,00;5641,00;188,63;10,21;1847,30;0
54;2020-S40;730398,00;450,00;12345,00;61,61;3,65;1690,17;0
54;2020-S41;730398,00;844,00;14755,00;115,55;5,72;2020,13;0
54;2020-S42;730398,00;1272,00;19532,00;174,15;6,51;2674,16;0
54;2020-S43;730398,00;2226,00;23683,00;304,77;9,40;3242,48;0
55;2020-S40;181641,00;95,00;2500,00;52,30;3,80;1376,34;0
55;2020-S41;181641,00;95,00;2452,00;52,30;3,87;1349,92;0
55;2020-S42;181641,00;170,00;3065,00;93,59;5,55;1687,39;0
55;2020-S43;181641,00;346,00;4090,00;190,49;8,46;2251,69;0
56;2020-S40;755566,00;285,00;8033,00;37,72;3,55;1063,18;0
56;2020-S41;755566,00;415,00;7946,00;54,93;5,22;1051,66;0
56;2020-S42;755566,00;633,00;10472,00;83,78;6,04;1385,98;0
56;2020-S43;755566,00;1136,00;12923,00;150,35;8,79;1710,37;0
57;2020-S40;1035866,00;381,00;14154,00;36,78;2,69;1366,39;0
57;2020-S41;1035866,00;788,00;16334,00;76,07;4,82;1576,84;0
57;2020-S42;1035866,00;1455,00;23659,00;140,46;6,15;2283,98;0
57;2020-S43;1035866,00;3313,00;31397,00;319,83;10,55;3030,99;0
58;2020-S40;199596,00;51,00;2459,00;25,55;2,07;1231,99;0
58;2020-S41;199596,00;123,00;2435,00;61,62;5,05;1219,96;0
58;2020-S42;199596,00;271,00;3553,00;135,77;7,63;1780,10;0
58;2020-S43;199596,00;456,00;4401,00;228,46;10,36;2204,95;0
59;2020-S40;2588988,00;5580,00;59763,00;215,53;9,34;2308,35;0
59;2020-S41;2588988,00;9037,00;70691,00;349,06;12,78;2730,45;0
59;2020-S42;2588988,00;13291,00;99324,00;513,37;13,38;3836,40;0
59;2020-S43;2588988,00;19534,00;117014,00;754,50;16,69;4519,68;0
60;2020-S40;825077,00;921,00;10844,00;111,63;8,49;1314,30;0
60;2020-S41;825077,00;1334,00;13782,00;161,68;9,68;1670,39;0
60;2020-S42;825077,00;2095,00;17475,00;253,92;11,99;2117,98;0
60;2020-S43;825077,00;2733,00;18112,00;331,24;15,09;2195,19;0
61;2020-S40;276903,00;185,00;3545,00;66,81;5,22;1280,23;0
61;2020-S41;276903,00;273,00;4017,00;98,59;6,80;1450,69;0
61;2020-S42;276903,00;257,00;4230,00;92,81;6,08;1527,61;0
61;2020-S43;276903,00;492,00;4337,00;177,68;11,34;1566,25;0
62;2020-S40;1452778,00;1716,00;24838,00;118,12;6,91;1709,69;0
62;2020-S41;1452778,00;2453,00;27531,00;168,85;8,91;1895,06;0
62;2020-S42;1452778,00;3630,00;35178,00;249,87;10,32;2421,43;0
62;2020-S43;1452778,00;6143,00;42301,00;422,85;14,52;2911,73;0
63;2020-S40;660240,00;747,00;11649,00;113,14;6,41;1764,36;0
63;2020-S41;660240,00;1176,00;14706,00;178,12;8,00;2227,37;0
63;2020-S42;660240,00;1752,00;16619,00;265,36;10,54;2517,11;0
63;2020-S43;660240,00;3121,00;22313,00;472,71;13,99;3379,53;0
64;2020-S40;683169,00;597,00;11399,00;87,39;5,24;1668,55;0
64;2020-S41;683169,00;865,00;13454,00;126,62;6,43;1969,35;0
64;2020-S42;683169,00;1544,00;17050,00;226,01;9,06;2495,72;0
64;2020-S43;683169,00;2668,00;23052,00;390,53;11,57;3374,28;0
65;2020-S40;226839,00;185,00;3785,00;81,56;4,89;1668,58;0
65;2020-S41;226839,00;237,00;3593,00;104,48;6,60;1583,94;0
65;2020-S42;226839,00;439,00;4770,00;193,53;9,20;2102,81;0
65;2020-S43;226839,00;756,00;6152,00;333,28;12,29;2712,06;0
66;2020-S40;479000,00;357,00;7778,00;74,53;4,59;1623,80;0
66;2020-S41;479000,00;861,00;9457,00;179,75;9,10;1974,32;0
66;2020-S42;479000,00;1237,00;12539,00;258,25;9,87;2617,75;0
66;2020-S43;479000,00;1763,00;15069,00;368,06;11,70;3145,93;0
67;2020-S40;1132607,00;486,00;20493,00;42,91;2,37;1809,37;0
67;2020-S41;1132607,00;1103,00;23914,00;97,39;4,61;2111,41;0
67;2020-S42;1132607,00;2178,00;33734,00;192,30;6,46;2978,44;0
67;2020-S43;1132607,00;5038,00;49628,00;444,81;10,15;4381,75;0
68;2020-S40;763204,00;236,00;9203,00;30,92;2,56;1205,84;0
68;2020-S41;763204,00;518,00;11339,00;67,87;4,57;1485,71;0
68;2020-S42;763204,00;909,00;15762,00;119,10;5,77;2065,24;0
68;2020-S43;763204,00;1726,00;19916,00;226,15;8,67;2609,53;0
69;2020-S40;1876051,00;3964,00;40423,00;211,29;9,81;2154,69;0
69;2020-S41;1876051,00;6660,00;47683,00;355,00;13,97;2541,67;0
69;2020-S42;1876051,00;10700,00;64909,00;570,35;16,48;3459,87;0
69;2020-S43;1876051,00;15670,00;76882,00;835,27;20,38;4098,08;0
70;2020-S40;233194,00;71,00;2665,00;30,45;2,66;1142,83;0
70;2020-S41;233194,00;122,00;2903,00;52,32;4,20;1244,89;0
70;2020-S42;233194,00;237,00;3901,00;101,63;6,08;1672,86;0
70;2020-S43;233194,00;570,00;5074,00;244,43;11,23;2175,87;0
71;2020-S40;547824,00;561,00;8355,00;102,41;6,71;1525,12;0
71;2020-S41;547824,00;1021,00;11370,00;186,37;8,98;2075,48;0
71;2020-S42;547824,00;1880,00;15216,00;343,18;12,36;2777,53;0
71;2020-S43;547824,00;3198,00;19130,00;583,76;16,72;3492,00;0
72;2020-S40;560227,00;396,00;8270,00;70,69;4,79;1476,19;0
72;2020-S41;560227,00;559,00;9563,00;99,78;5,85;1706,99;0
72;2020-S42;560227,00;715,00;10270,00;127,63;6,96;1833,19;0
72;2020-S43;560227,00;1086,00;11144,00;193,85;9,75;1989,19;0
73;2020-S40;432548,00;382,00;5754,00;88,31;6,64;1330,26;0
73;2020-S41;432548,00;843,00;7556,00;194,89;11,16;1746,86;0
73;2020-S42;432548,00;1593,00;10129,00;368,28;15,73;2341,71;0
73;2020-S43;432548,00;2920,00;12035,00;675,07;24,26;2782,35;0
74;2020-S40;828405,00;433,00;8541,00;52,27;5,07;1031,02;0
74;2020-S41;828405,00;890,00;10442,00;107,44;8,52;1260,49;0
74;2020-S42;828405,00;2216,00;16176,00;267,50;13,70;1952,67;0
74;2020-S43;828405,00;5599,00;23601,00;675,88;23,72;2848,97;0
75;2020-S40;2148271,00;6694,00;60324,00;311,60;11,10;2808,03;0
75;2020-S41;2148271,00;9409,00;72018,00;437,98;13,06;3352,37;0
75;2020-S42;2148271,00;10022,00;83738,00;466,51;11,97;3897,93;0
75;2020-S43;2148271,00;12772,00;88028,00;594,52;14,51;4097,62;0
76;2020-S40;1243788,00;1587,00;16979,00;127,59;9,35;1365,10;0
76;2020-S41;1243788,00;2363,00;20497,00;189,98;11,53;1647,95;0
76;2020-S42;1243788,00;2925,00;25776,00;235,17;11,35;2072,38;0
76;2020-S43;1243788,00;4334,00;30386,00;348,45;14,26;2443,02;0
77;2020-S40;1423607,00;1936,00;19972,00;135,99;9,69;1402,92;0
77;2020-S41;1423607,00;3087,00;22099,00;216,84;13,97;1552,32;0
77;2020-S42;1423607,00;3978,00;27884,00;279,43;14,27;1958,69;0
77;2020-S43;1423607,00;5475,00;29290,00;384,59;18,69;2057,45;0
78;2020-S40;1448625,00;2010,00;20759,00;138,75;9,68;1433,01;0
78;2020-S41;1448625,00;3370,00;25905,00;232,63;13,01;1788,25;0
78;2020-S42;1448625,00;4319,00;31685,00;298,14;13,63;2187,25;0
78;2020-S43;1448625,00;6439,00;36764,00;444,49;17,51;2537,85;0
79;2020-S40;372627,00;94,00;3521,00;25,23;2,67;944,91;0
79;2020-S41;372627,00;214,00;4002,00;57,43;5,35;1074,00;0
79;2020-S42;372627,00;346,00;6214,00;92,85;5,57;1667,62;0
79;2020-S43;372627,00;754,00;7740,00;202,35;9,74;2077,14;0
80;2020-S40;569769,00;509,00;8556,00;89,33;5,95;1501,66;0
80;2020-S41;569769,00;646,00;8400,00;113,38;7,69;1474,28;0
80;2020-S42;569769,00;772,00;10239,00;135,49;7,54;1797,04;0
80;2020-S43;569769,00;1182,00;10224,00;207,45;11,56;1794,41;0
81;2020-S40;387898,00;487,00;6551,00;125,55;7,43;1688,85;0
81;2020-S41;387898,00;785,00;7087,00;202,37;11,08;1827,03;0
81;2020-S42;387898,00;1055,00;8386,00;271,98;12,58;2161,91;0
81;2020-S43;387898,00;1644,00;10119,00;423,82;16,25;2608,68;0
82;2020-S40;262618,00;243,00;4010,00;92,53;6,06;1526,93;0
82;2020-S41;262618,00;610,00;4938,00;232,28;12,35;1880,30;0
82;2020-S42;262618,00;736,00;5945,00;280,25;12,38;2263,74;0
82;2020-S43;262618,00;1023,00;7048,00;389,54;14,51;2683,75;0
83;2020-S40;1073836,00;642,00;17543,00;59,79;3,66;1633,68;0
83;2020-S41;1073836,00;1136,00;19002,00;105,79;5,98;1769,54;0
83;2020-S42;1073836,00;2295,00;25063,00;213,72;9,16;2333,97;0
83;2020-S43;1073836,00;4272,00;33747,00;397,83;12,66;3142,66;0
84;2020-S40;560997,00;537,00;8147,00;95,72;6,59;1452,24;0
84;2020-S41;560997,00;888,00;9771,00;158,29;9,09;1741,72;0
84;2020-S42;560997,00;1346,00;12931,00;239,93;10,41;2305,00;0
84;2020-S43;560997,00;2469,00;14935,00;440,11;16,53;2662,22;0
85;2020-S40;683187,00;261,00;7216,00;38,20;3,62;1056,23;0
85;2020-S41;683187,00;455,00;8900,00;66,60;5,11;1302,72;0
85;2020-S42;683187,00;711,00;11495,00;104,07;6,19;1682,56;0
85;2020-S43;683187,00;1402,00;13755,00;205,21;10,19;2013,36;0
86;2020-S40;437398,00;161,00;5026,00;36,81;3,20;1149,07;0
86;2020-S41;437398,00;254,00;5306,00;58,07;4,79;1213,08;0
86;2020-S42;437398,00;463,00;6696,00;105,85;6,91;1530,87;0
86;2020-S43;437398,00;1042,00;9585,00;238,23;10,87;2191,37;0
87;2020-S40;370774,00;285,00;5286,00;76,87;5,39;1425,67;0
87;2020-S41;370774,00;512,00;6149,00;138,09;8,33;1658,42;0
87;2020-S42;370774,00;712,00;7977,00;192,03;8,93;2151,45;0
87;2020-S43;370774,00;1160,00;9909,00;312,86;11,71;2672,52;0
88;2020-S40;359520,00;93,00;3928,00;25,87;2,37;1092,57;0
88;2020-S41;359520,00;204,00;4887,00;56,74;4,17;1359,31;0
88;2020-S42;359520,00;496,00;6785,00;137,96;7,31;1887,24;0
88;2020-S43;359520,00;1042,00;10182,00;289,83;10,23;2832,11;0
89;2020-S40;332096,00;226,00;4777,00;68,05;4,73;1438,44;0
89;2020-S41;332096,00;346,00;4791,00;104,19;7,22;1442,66;0
89;2020-S42;332096,00;650,00;6279,00;195,73;10,35;1890,72;0
89;2020-S43;332096,00;1255,00;7649,00;377,90;16,41;2303,25;0
90;2020-S40;140145,00;61,00;1819,00;43,53;3,35;1297,94;0
90;2020-S41;140145,00;55,00;1901,00;39,25;2,89;1356,45;0
90;2020-S42;140145,00;100,00;1878,00;71,35;5,32;1340,04;0
90;2020-S43;140145,00;289,00;2463,00;206,21;11,73;1757,47;0
91;2020-S40;1319401,00;2037,00;19188,00;154,39;10,62;1454,30;0
91;2020-S41;1319401,00;3414,00;23690,00;258,75;14,41;1795,51;0
91;2020-S42;1319401,00;4392,00;30910,00;332,88;14,21;2342,73;0
91;2020-S43;1319401,00;5899,00;32716,00;447,10;18,03;2479,61;0
92;2020-S40;1613762,00;3786,00;38382,00;234,61;9,86;2378,42;0
92;2020-S41;1613762,00;5408,00;43919,00;335,12;12,31;2721,53;0
92;2020-S42;1613762,00;6609,00;53550,00;409,54;12,34;3318,33;0
92;2020-S43;1613762,00;8394,00;56692,00;520,15;14,81;3513,03;0
93;2020-S40;1670149,00;3426,00;26548,00;205,13;12,90;1589,56;0
93;2020-S41;1670149,00;5029,00;32137,00;301,11;15,65;1924,20;0
93;2020-S42;1670149,00;6492,00;36913,00;388,71;17,59;2210,16;0
93;2020-S43;1670149,00;7865,00;39898,00;470,92;19,71;2388,89;0
94;2020-S40;1406041,00;3021,00;26231,00;214,86;11,52;1865,59;0
94;2020-S41;1406041,00;4442,00;31878,00;315,92;13,93;2267,22;0
94;2020-S42;1406041,00;5651,00;39237,00;401,91;14,40;2790,60;0
94;2020-S43;1406041,00;7087,00;40857,00;504,04;17,35;2905,82;0
95;2020-S40;1248354,00;2383,00;20163,00;190,89;11,82;1615,17;0
95;2020-S41;1248354,00;3887,00;25488,00;311,37;15,25;2041,73;0
95;2020-S42;1248354,00;5039,00;31594,00;403,65;15,95;2530,85;0
95;2020-S43;1248354,00;6847,00;35116,00;548,48;19,50;2812,98;0
971;2020-S40;376879,00;809,00;4695,00;214,66;17,23;1245,76;0
971;2020-S41;376879,00;594,00;3821,00;157,61;15,55;1013,85;0
971;2020-S42;376879,00;395,00;3430,00;104,81;11,52;910,11;0
971;2020-S43;376879,00;273,00;3110,00;72,44;8,78;825,20;0
972;2020-S40;358749,00;330,00;4257,00;91,99;7,75;1186,62;0
972;2020-S41;358749,00;482,00;4533,00;134,36;10,63;1263,56;0
972;2020-S42;358749,00;565,00;4846,00;157,49;11,66;1350,81;0
972;2020-S43;358749,00;788,00;5991,00;219,65;13,15;1669,97;0
973;2020-S40;290691,00;170,00;3327,00;58,48;5,11;1144,51;0
973;2020-S41;290691,00;124,00;2971,00;42,66;4,17;1022,05;0
973;2020-S42;290691,00;108,00;2732,00;37,15;3,95;939,83;0
973;2020-S43;290691,00;144,00;2936,00;49,54;4,90;1010,01;0
974;2020-S40;859959,00;400,00;12654,00;46,51;3,16;1471,47;0
974;2020-S41;859959,00;328,00;10902,00;38,14;3,01;1267,73;0
974;2020-S42;859959,00;324,00;9180,00;37,68;3,53;1067,49;0
974;2020-S43;859959,00;493,00;12349,00;57,33;3,99;1436,00;0
976;2020-S40;279471,00;114,00;1442,00;40,79;7,91;515,97;0
976;2020-S41;279471,00;121,00;1517,00;43,30;7,98;542,81;0
976;2020-S42;279471,00;153,00;1767,00;54,75;8,66;632,27;0
976;2020-S43;279471,00;161,00;1799,00;57,61;8,95;643,72;0
978;2020-S40;35334,00;33,00;350,00;93,39;9,43;990,55;0
978;2020-S41;35334,00;65,00;443,00;183,96;14,67;1253,75;0
978;2020-S42;35334,00;37,00;391,00;104,72;9,46;1106,58;0
978;2020-S43;35334,00;29,00;325,00;82,07;8,92;919,79;0
975;2020-S40;5997,00;0,00;28,00;0,00;0,00;466,90;0
975;2020-S41;5997,00;3,00;26,00;50,03;11,54;433,55;0
975;2020-S42;5997,00;1,00;32,00;16,68;3,12;533,60;0
975;2020-S43;5997,00;0,00;36,00;0,00;0,00;600,30;0
977;2020-S40;9961,00;10,00;231,00;100,39;4,33;2319,04;0
977;2020-S41;9961,00;3,00;254,00;30,12;1,18;2549,94;0
977;2020-S42;9961,00;10,00;296,00;100,39;3,38;2971,59;0
977;2020-S43;9961,00;6,00;412,00;60,23;1,46;4136,13;0
01;2020-S44;656955,00;6173,00;24388,00;939,64;25,31;3712,28;0
01;2020-S45;656955,00;5611,00;24493,00;854,09;22,91;3728,26;0
01;2020-S46;656955,00;2903,00;17057,00;441,89;17,02;2596,37;0
01;2020-S47;656955,00;1866,00;13974,00;284,04;13,35;2127,09;0
